YEAR,BANAME,BACODE,BANAMEPCAP,BAHTIAN,BAHTIOZ,BAHTIANT,BAHTIOZT,BANGENAN,BANGENOZ,BANOXAN,BANOXOZ,BASO2AN,BACO2AN,BACH4AN,BAN2OAN,BACO2EQA,BAHGAN,BANOXRTA,BANOXRTO,BASO2RTA,BACO2RTA,BACH4RTA,BAN2ORTA,BAC2ERTA,BAHGRTA,BANOXRA,BANOXRO,BASO2RA,BACO2RA,BACH4RA,BAN2ORA,BAC2ERA,BAHGRA,BANOXCRT,BANOXCRO,BASO2CRT,BACO2CRT,BACH4CRT,BAN2OCRT,BAC2ECRT,BAHGCRT,BACNOXRT,BAONOXRT,BAGNOXRT,BAFSNXRT,BACNXORT,BAONXORT,BAGNXORT,BAFSNORT,BACSO2RT,BAOSO2RT,BAGSO2RT,BAFSS2RT,BACCO2RT,BAOCO2RT,BAGCO2RT,BAFSC2RT,BACCH4RT,BAOCH4RT,BAGCH4RT,BAFCH4RT,BACN2ORT,BAON2ORT,BAGN2ORT,BAFN2ORT,BACC2ERT,BAOC2ERT,BAGC2ERT,BAFSC2ERT,BACHGRT,BAFSHGRT,BACNOXR,BAONOXR,BAGNOXR,BAFSNXR,BACNXOR,BAONXOR,BAGNXOR,BAFSNOR,BACSO2R,BAOSO2R,BAGSO2R,BAFSS2R,BACCO2R,BAOCO2R,BAGCO2R,BAFSC2R,BACCH4R,BAOCH4R,BAGCH4R,BAFCH4R,BACN2OR,BAON2OR,BAGN2OR,BAFN2OR,BACC2ER,BAOC2ER,BAGC2ER,BAFSC2ER,BACHGR,BAFSHGR,BANBNOX,BANBNXO,BANBSO2,BANBCO2,BANBCH4,BANBN2O,BANBC2E,BANBHG,BAGENACL,BAGENAOL,BAGENAGS,BAGENANC,BAGENAHY,BAGENABM,BAGENAWI,BAGENASO,BAGENAGT,BAGENAOF,BAGENAOP,BAGENATN,BAGENATR,BAGENATH,BAGENACY,BAGENACN,BACLPR,BAOLPR,BAGSPR,BANCPR,BAHYPR,BABMPR,BAWIPR,BASOPR,BAGTPR,BAOFPR,BAOPPR,BATNPR,BATRPR,BATHPR,BACYPR,BACNPR,BANBGNCL,BANBGNOL,BANBGNGS,BANBGNNC,BANBGNHY,BANBGNBM,BANBGNWI,BANBGNSO,BANBGNGT,BANBGNOF,BANBGNOP,BANBCLPR,BANBOLPR,BANBGSPR,BANBNCPR,BANBHYPR,BANBBMPR,BANBWIPR,BANBSOPR,BANBGTPR,BANBOFPR,BANBOPPR
2020.00,Alcoa Power Generating Inc. - Yadkin Division,YAD,215.20,0.00,0.00,10493178.03,3393382.98,1196076.00,386799.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,,,,,,,,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,1196076.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1196076.00,0.00,0.00,1196076.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020.00,Anchorage Municipal Light & Power,AMPL,11.50,404931.99,167481.00,404931.99,167481.00,38966.00,16162.00,0.00,0.00,6.78,13.65,0.47,0.05,13.66,--,0.00,0.00,0.35,0.70,0.00,0.00,0.70,--,0.00,0.00,0.03,0.07,0.00,0.00,0.07,--,0.00,0.00,0.35,0.70,0.00,0.00,0.70,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,0.00,0.00,0.35,0.70,0.00,0.00,0.70,--,0.00,0.00,20.73,0.00,0.00,38945.27,0.00,0.00,0.00,0.00,0.00,20.73,38945.27,38945.27,38966.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,26834.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
2020.00,Arizona Public Service Company,AZPS,11346.80,158893787.40,82169916.40,179273462.45,92365698.40,18313265.00,9388110.00,6554.50,3382.74,3256.73,14449660.91,3042676.93,434603.26,14552450.26,--,0.72,0.72,0.36,1578.05,0.17,0.02,1589.28,--,0.08,0.08,0.04,181.88,0.02,0.00,183.17,--,0.82,0.83,0.41,1807.31,0.19,0.03,1820.16,--,1.08,31.83,0.18,0.80,1.08,31.78,0.18,0.80,0.60,18.26,0.00,0.41,2307.72,5901.04,815.66,1832.85,0.25,0.24,0.02,0.18,0.04,0.05,0.00,0.03,2324.94,5921.22,816.76,1844.93,--,--,0.10,0.88,0.03,0.08,0.10,0.88,0.03,0.08,0.05,0.51,0.00,0.04,205.20,163.33,118.85,186.05,0.02,0.01,0.00,0.02,0.00,0.00,0.00,0.00,206.73,163.88,119.00,187.28,--,--,0.80,0.81,0.40,1791.33,0.17,0.02,1802.81,--,10620819.90,7666.92,5138945.97,0.00,0.00,222833.23,352909.00,1970090.17,0.00,0.00,0.00,15767432.79,2545832.40,2545832.40,15990266.02,2322999.17,0.58,0.00,0.28,0.00,0.00,0.01,0.02,0.11,0.00,0.00,0.00,0.86,0.14,0.14,0.87,0.13,7818864.58,23.00,4352555.04,0.00,0.00,1025.64,0.00,0.00,0.00,0.00,0.00,0.64,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020.00,Arlington Valley LLC - AVBA,DEAA,713.00,15561216.50,7683025.50,15561216.50,7683025.50,2111383.00,1027398.00,61.70,31.56,4.70,924781.91,34391.01,3439.10,925724.22,--,0.06,0.06,0.00,876.00,0.02,0.00,876.89,--,0.01,0.01,0.00,118.86,0.00,0.00,118.98,--,0.06,0.06,0.00,876.00,0.02,0.00,876.89,--,0.00,0.00,0.06,0.06,0.00,0.00,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.00,876.00,876.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,876.89,876.89,--,--,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,118.86,118.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,118.98,118.98,--,--,0.06,0.06,0.00,876.00,0.02,0.00,876.89,--,0.00,0.00,2111383.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2111383.00,0.00,0.00,2111383.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1625609.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020.00,Associated Electric Cooperative Inc.,AECI,6852.50,206280997.42,89224335.86,222228640.51,95408677.95,25318089.00,10718215.00,31781.20,12862.12,25763.27,18127121.38,3326767.91,476232.55,18239664.63,--,2.51,2.40,2.04,1431.95,0.13,0.02,1440.84,--,0.31,0.29,0.25,175.75,0.02,0.00,176.84,--,2.71,2.59,2.20,1547.65,0.14,0.02,1557.26,--,4.77,31.91,0.12,2.72,4.81,31.77,0.12,2.58,3.94,2.84,0.01,2.20,2078.21,1598.26,880.11,1548.79,0.24,0.06,0.02,0.14,0.04,0.01,0.00,0.02,2094.73,1603.74,881.00,1558.41,--,--,0.48,3.26,0.02,0.31,0.47,3.26,0.02,0.29,0.40,0.29,0.00,0.25,209.75,163.33,118.85,175.96,0.02,0.01,0.00,0.02,0.00,0.00,0.00,0.00,211.42,163.89,118.97,177.05,--,--,2.60,2.42,1.96,1487.35,0.13,0.02,1496.07,--,13054967.10,10105.20,10343052.75,0.00,108631.00,17241.00,1779716.78,4375.00,0.00,0.00,0.00,23408125.05,1909963.78,1801332.78,23425366.05,1892722.78,0.52,0.00,0.41,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.92,0.08,0.07,0.93,0.07,4199465.99,546.00,4232035.53,0.00,0.00,8849.30,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020.00,Avangrid Renewables LLC,AVRN,2838.80,20867898.04,6422730.12,56185021.29,21836990.18,6772157.50,2593219.12,161.73,49.89,6.16,1240156.93,44491.02,4449.10,1241375.98,--,0.05,0.04,0.00,366.25,0.01,0.00,366.61,--,0.02,0.02,0.00,118.86,0.00,0.00,118.97,--,0.12,0.10,0.00,903.08,0.02,0.00,903.97,--,0.00,0.00,0.12,0.12,0.00,0.00,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.00,903.08,903.08,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,903.97,903.97,--,--,0.00,0.00,0.02,0.02,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,118.86,118.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,118.98,118.98,--,--,0.12,0.13,0.00,915.67,0.02,0.00,916.57,--,0.00,0.00,2746496.46,0.00,0.00,0.00,4003893.00,21768.00,0.00,0.00,0.00,2746496.46,4025661.00,4025661.00,2746496.46,4025661.00,0.00,0.00,0.41,0.00,0.00,0.00,0.59,0.00,0.00,0.00,0.00,0.41,0.59,0.59,0.41,0.59,0.00,0.00,863236.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020.00,Avista Corporation,AVA,2338.00,23339953.41,7408772.17,67705511.64,27912546.50,7831593.99,3197509.00,1673.15,580.29,518.77,994205.19,557042.75,77713.85,1012747.58,--,0.43,0.36,0.13,253.90,0.07,0.01,258.63,--,0.14,0.16,0.04,85.19,0.02,0.00,86.78,--,1.21,1.03,0.37,716.66,0.20,0.03,730.03,--,0.00,41.62,0.74,0.74,0.00,40.99,0.86,0.87,0.00,1.62,0.01,0.01,0.00,2004.93,866.68,866.88,0.00,0.06,0.02,0.02,0.00,0.01,0.00,0.00,0.00,2009.10,867.59,867.80,--,--,0.00,2.86,0.10,0.10,0.00,2.88,0.12,0.12,0.00,0.11,0.00,0.00,0.00,137.79,118.79,118.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,138.07,118.92,118.93,--,--,1.96,2.11,0.56,680.15,0.22,0.03,695.22,--,0.00,126.25,1984366.98,0.00,4640167.00,790043.78,371506.00,45384.00,0.00,0.00,0.00,1984493.23,5847100.78,1206933.78,2774537.01,5057057.00,0.00,0.00,0.25,0.00,0.59,0.10,0.05,0.01,0.00,0.00,0.00,0.25,0.75,0.15,0.35,0.65,0.00,343.00,669894.45,0.00,0.00,452036.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00
2020.00,Balancing Authority of Northern California,BANC,3080.40,46692392.59,20668231.92,55690638.60,26112101.97,7363252.00,3413367.00,149.69,64.36,31.69,2688838.75,99099.48,9917.98,2691555.27,--,0.04,0.04,0.01,730.34,0.01,0.00,731.08,--,0.01,0.01,0.00,115.17,0.00,0.00,115.29,--,0.05,0.04,0.01,848.54,0.02,0.00,849.40,--,0.00,0.00,0.07,0.05,0.00,0.00,0.07,0.05,0.00,0.00,0.01,0.01,0.00,0.00,896.50,857.70,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,897.45,858.57,--,--,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,118.48,117.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,118.61,117.53,--,--,0.07,0.07,0.01,893.33,0.02,0.00,894.26,--,0.00,591.45,6203771.26,0.00,740545.00,133214.26,0.00,285130.00,0.00,0.00,0.00,6204362.71,1158889.26,418344.26,6337576.97,1025675.00,0.00,0.00,0.84,0.00,0.10,0.02,0.00,0.04,0.00,0.00,0.00,0.84,0.16,0.06,0.86,0.14,0.00,0.00,2147131.83,0.00,0.00,0.00,0.00,0.00,0.00,263215.06,0.00,0.00,0.00,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00
2020.00,Bonneville Power Administration,BPAT,33395.60,137222155.70,44696335.49,887059596.87,388213309.12,110563715.63,47858597.55,8220.00,2468.28,2514.22,10429196.49,1788476.14,260035.23,10490297.69,--,0.15,0.10,0.05,188.66,0.02,0.00,189.76,--,0.12,0.11,0.04,152.01,0.01,0.00,152.90,--,1.05,0.73,0.32,1332.64,0.11,0.02,1340.45,--,2.14,0.00,0.47,1.07,2.07,0.00,0.44,1.01,0.60,0.00,0.01,0.22,2482.13,0.00,866.26,1447.89,0.27,0.00,0.02,0.11,0.04,0.00,0.00,0.02,2500.77,0.00,867.16,1455.17,--,--,0.18,0.00,0.06,0.12,0.18,0.00,0.06,0.11,0.05,0.00,0.00,0.03,209.76,0.00,118.50,161.98,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,211.34,0.00,118.62,162.80,--,--,1.10,1.01,0.40,1540.55,0.14,0.02,1550.03,--,5170215.54,12808.23,9321397.14,9427050.00,77072459.10,1147611.68,8182177.00,139501.00,90572.00,0.00,-76.00,23931394.92,86632320.78,9559861.68,15651956.60,94911759.10,0.05,0.00,0.08,0.09,0.70,0.01,0.07,0.00,0.00,0.00,0.00,0.22,0.78,0.09,0.14,0.86,4034396.72,0.00,4425664.90,0.00,0.00,634606.48,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.49,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00
2020.00,California Independent System Operator,CISO,104221.30,647615527.00,287842952.99,1249485882.99,601121746.95,165685603.03,78773999.22,36308.75,16405.99,2027.99,35573047.99,4371933.21,535829.78,35707535.79,--,0.44,0.42,0.02,429.40,0.03,0.00,431.03,--,0.11,0.11,0.01,109.86,0.01,0.00,110.27,--,0.89,0.84,0.05,867.88,0.05,0.01,871.16,--,1.19,8.70,0.73,0.74,1.21,8.41,0.77,0.79,0.00,0.59,0.01,0.01,1125.17,1858.89,892.30,894.99,0.12,0.02,0.02,0.02,0.02,0.00,0.00,0.00,1133.65,1860.46,893.18,895.91,--,--,0.22,0.93,0.10,0.10,0.22,0.89,0.10,0.10,0.00,0.06,0.00,0.00,202.62,198.01,118.04,118.47,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,204.15,198.17,118.15,118.59,--,--,0.86,0.90,0.02,914.89,0.04,0.01,917.36,--,290290.85,41902.82,75054913.89,16258698.00,14784069.00,5167510.88,13322732.00,31115407.37,8228121.00,1058753.36,363204.27,93067763.18,72617840.25,57833771.25,81976576.06,83709027.37,0.00,0.00,0.45,0.10,0.09,0.03,0.08,0.19,0.05,0.01,0.00,0.56,0.44,0.35,0.49,0.51,116756.92,100456.08,46194444.48,0.00,0.00,1769625.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00
