YEAR,SUBRGN,SRNAME,SRNAMEPCAP,SRHTIAN,SRHTIOZ,SRHTIANT,SRHTIOZT,SRNGENAN,SRNGENOZ,SRNOXAN,SRNOXOZ,SRSO2AN,SRCO2AN,SRCH4AN,SRN2OAN,SRCO2EQA,SRHGAN,SRNOXRTA,SRNOXRTO,SRSO2RTA,SRCO2RTA,SRCH4RTA,SRN2ORTA,SRC2ERTA,SRHGRTA,SRNOXRA,SRNOXRO,SRSO2RA,SRCO2RA,SRCH4RA,SRN2ORA,SRC2ERA,SRHGRA,SRNOXCRT,SRNOXCRO,SRSO2CRT,SRCO2CRT,SRCH4CRT,SRN2OCRT,SRC2ECRT,SRHGCRT,SRCNOXRT,SRONOXRT,SRGNOXRT,SRFSNXRT,SRCNXORT,SRONXORT,SRGNXORT,SRFSNORT,SRCSO2RT,SROSO2RT,SRGSO2RT,SRFSS2RT,SRCCO2RT,SROCO2RT,SRGCO2RT,SRFSC2RT,SRCCH4RT,SROCH4RT,SRGCH4RT,SRFCH4RT,SRCN2ORT,SRON2ORT,SRGN2ORT,SRFN2ORT,SRCC2ERT,SROC2ERT,SRGC2ERT,SRFSC2ERT,SRCHGRT,SRFSHGRT,SRCNOXR,SRONOXR,SRGNOXR,SRFSNXR,SRCNXOR,SRONXOR,SRGNXOR,SRFSNOR,SRCSO2R,SROSO2R,SRGSO2R,SRFSS2R,SRCCO2R,SROCO2R,SRGCO2R,SRFSC2R,SRCCH4R,SROCH4R,SRGCH4R,SRFCH4R,SRCN2OR,SRON2OR,SRGN2OR,SRFN2OR,SRCC2ER,SROC2ER,SRGC2ER,SRFSC2ER,SRCHGR,SRFSHGR,SRNBNOX,SRNBNXO,SRNBSO2,SRNBCO2,SRNBCH4,SRNBN2O,SRNBC2E,SRNBHG,SRGENACL,SRGENAOL,SRGENAGS,SRGENANC,SRGENAHY,SRGENABM,SRGENAWI,SRGENASO,SRGENAGT,SRGENAOF,SRGENAOP,SRGENATN,SRGENATR,SRGENATH,SRGENACY,SRGENACN,SRCLPR,SROLPR,SRGSPR,SRNCPR,SRHYPR,SRBMPR,SRWIPR,SRSOPR,SRGTPR,SROFPR,SROPPR,SRTNPR,SRTRPR,SRTHPR,SRCYPR,SRCNPR,SRNBGNCL,SRNBGNOL,SRNBGNGS,SRNBGNNC,SRNBGNHY,SRNBGNBM,SRNBGNWI,SRNBGNSO,SRNBGNGT,SRNBGNOF,SRNBGNOP,SRNBCLPR,SRNBOLPR,SRNBGSPR,SRNBNCPR,SRNBHYPR,SRNBBMPR,SRNBWIPR,SRNBSOPR,SRNBGTPR,SRNBOFPR,SRNBOPPR
2020.00,AKGD,ASCC Alaska Grid,2460.80,35353231.62,13385549.99,42326085.62,16491376.99,4659917.00,1811167.00,13943.39,5325.41,1293.15,2557432.36,464138.50,63655.88,2572718.82,--,5.98,5.88,0.56,1097.63,0.10,0.01,1104.19,--,0.79,0.80,0.07,144.68,0.01,0.00,145.54,--,7.22,7.09,0.67,1323.34,0.12,0.02,1331.25,--,1.26,8.32,8.80,7.28,1.28,8.60,8.83,7.39,1.48,2.53,0.03,0.67,2306.09,1578.17,1001.40,1335.83,0.26,0.40,0.02,0.12,0.04,0.06,0.00,0.02,2323.81,1604.81,1002.44,1343.82,--,--,0.12,0.88,1.03,0.80,0.12,0.90,1.02,0.81,0.14,0.27,0.00,0.07,212.83,167.43,116.89,146.35,0.02,0.04,0.00,0.01,0.00,0.01,0.00,0.00,214.47,170.26,117.01,147.23,--,--,6.76,6.97,0.73,1315.10,0.13,0.02,1323.41,--,721788.94,576868.40,2530316.37,0.00,697670.00,38945.27,97138.00,0.00,0.00,0.00,-2810.00,3826163.71,833753.27,136083.27,3865108.98,794808.00,0.15,0.12,0.54,0.00,0.15,0.01,0.02,0.00,0.00,0.00,0.00,0.82,0.18,0.03,0.83,0.17,411980.70,429383.98,1547155.55,0.00,0.00,26834.74,0.00,0.00,0.00,0.00,0.00,0.17,0.18,0.64,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
2020.00,AKMS,ASCC Miscellaneous,1073.00,5314494.60,2167209.08,13916226.58,6059802.05,1496129.99,656049.00,6215.31,2617.66,533.24,399521.69,40296.27,6843.61,401045.09,--,8.31,7.98,0.71,534.07,0.03,0.01,536.11,--,2.34,2.42,0.20,150.35,0.01,0.00,150.93,--,24.09,23.14,2.07,1548.57,0.08,0.01,1554.47,--,0.00,28.68,4.50,23.72,0.00,28.72,4.50,24.29,0.00,2.55,0.04,2.04,0.00,1508.21,1601.57,1527.34,0.00,0.09,0.03,0.08,0.00,0.02,0.00,0.01,0.00,1515.12,1603.23,1533.17,--,--,0.00,3.10,0.33,2.33,0.00,3.10,0.33,2.41,0.00,0.28,0.00,0.20,0.00,163.03,116.89,150.28,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,163.77,117.01,150.85,--,--,24.22,24.79,2.07,1517.68,0.07,0.01,1522.83,--,0.00,406069.66,110443.42,0.00,948747.00,119.39,31395.00,0.00,0.00,0.00,-644.00,515869.08,980261.39,31514.39,515988.46,980142.00,0.00,0.27,0.07,0.00,0.63,0.00,0.02,0.00,0.00,0.00,0.00,0.34,0.66,0.02,0.34,0.66,0.00,384477.65,95102.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020.00,AZNM,WECC Southwest,73364.00,953249089.78,473178764.39,1164447327.11,569966868.20,165394893.33,79793567.89,39758.33,19923.99,12836.21,70012955.64,8862602.71,1222490.59,70305889.28,--,0.48,0.50,0.16,846.62,0.05,0.01,850.16,--,0.08,0.08,0.03,146.89,0.01,0.00,147.51,--,0.73,0.76,0.24,1279.54,0.08,0.01,1284.90,--,1.63,31.83,0.43,0.72,1.60,31.78,0.45,0.73,0.85,18.26,0.01,0.21,2404.67,5901.04,924.80,1281.40,0.26,0.24,0.02,0.08,0.04,0.05,0.00,0.01,2422.50,5921.22,925.76,1286.43,--,--,0.14,0.88,0.06,0.08,0.14,0.88,0.06,0.08,0.07,0.51,0.00,0.02,207.89,163.33,119.49,147.94,0.02,0.01,0.00,0.01,0.00,0.00,0.00,0.00,209.44,163.88,119.62,148.52,--,--,0.84,0.85,0.25,1368.62,0.09,0.01,1374.61,--,26535437.31,73013.16,82187495.44,31552433.00,5604776.00,619734.41,4290331.00,8585802.61,5927125.00,0.00,18746.00,140367124.90,25027769.02,19422993.02,109434426.31,55960467.61,0.16,0.00,0.50,0.19,0.03,0.00,0.03,0.05,0.04,0.00,0.00,0.85,0.15,0.12,0.66,0.34,19352852.11,23.00,47586118.74,0.00,0.00,106255.81,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020.00,CAMX,WECC California,124782.20,851051673.05,381804634.04,1501660963.08,721099573.13,196129977.92,93303380.92,46565.24,21113.06,4301.25,50351935.37,6314516.59,805000.75,50550811.93,--,0.48,0.45,0.04,513.46,0.03,0.00,515.48,--,0.11,0.11,0.01,118.33,0.01,0.00,118.80,--,0.87,0.83,0.08,942.58,0.06,0.01,946.30,--,2.49,8.70,0.64,0.76,2.56,8.41,0.67,0.79,0.62,0.59,0.01,0.05,1997.69,1858.89,895.91,972.94,0.24,0.02,0.02,0.03,0.03,0.00,0.00,0.00,2013.97,1860.46,896.80,974.92,--,--,0.26,0.93,0.08,0.10,0.27,0.89,0.09,0.10,0.06,0.06,0.00,0.01,205.13,198.01,117.99,125.86,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,206.81,198.17,118.11,126.12,--,--,0.86,0.89,0.07,1006.54,0.05,0.01,1009.92,--,7033070.95,61649.80,92280167.53,16258698.00,16759969.00,5414116.01,14173588.00,33870478.07,8228121.00,1522717.25,527403.27,117683706.80,78446272.08,61686303.08,106839124.81,89290854.07,0.04,0.00,0.47,0.08,0.09,0.03,0.07,0.17,0.04,0.01,0.00,0.60,0.40,0.31,0.54,0.46,5624870.45,100456.08,57608095.96,0.00,0.00,1840768.93,0.00,0.00,0.00,263215.06,0.00,0.09,0.00,0.88,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00
2020.00,ERCT,ERCOT All,186698.80,2287894171.89,1138180542.69,3099080950.41,1472278878.62,414911395.76,195285208.03,93804.95,44603.31,108997.62,169823315.54,21579258.87,2991116.22,170536687.73,--,0.45,0.46,0.53,818.60,0.05,0.01,822.04,--,0.08,0.08,0.10,148.45,0.01,0.00,149.08,--,0.67,0.68,0.78,1213.99,0.08,0.01,1219.09,--,1.20,3.88,0.50,0.67,1.22,3.74,0.47,0.65,3.07,10.49,0.01,0.78,2284.30,2196.92,871.73,1220.95,0.26,0.05,0.02,0.08,0.04,0.01,0.00,0.01,2302.13,2201.07,872.61,1226.06,--,--,0.11,0.30,0.07,0.08,0.11,0.30,0.06,0.08,0.28,0.82,0.00,0.10,210.61,171.40,118.41,148.95,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,212.25,171.72,118.53,149.58,--,--,0.76,0.73,0.90,1296.56,0.09,0.01,1302.28,--,68260811.25,125394.54,208098544.96,41438705.00,758916.61,769375.00,84435947.42,8500002.24,0.00,2090077.27,433621.00,320447154.02,94464241.27,93705324.66,279777824.03,135133571.27,0.16,0.00,0.50,0.10,0.00,0.00,0.20,0.02,0.00,0.01,0.00,0.77,0.23,0.23,0.67,0.33,41943362.41,149008.87,103160161.10,0.00,0.00,124403.19,0.00,0.00,0.00,1783436.35,0.00,0.29,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00
2020.00,FRCC,FRCC All,105763.60,1575690143.61,743198801.69,1641967849.42,769723311.71,241403268.45,112518066.10,34798.23,16241.37,18355.99,100795432.62,11905306.79,1549543.31,101175130.90,--,0.29,0.29,0.15,835.08,0.05,0.01,838.23,--,0.04,0.04,0.02,127.94,0.01,0.00,128.42,--,0.34,0.34,0.18,980.47,0.06,0.01,984.16,--,0.43,9.33,0.22,0.25,0.45,9.36,0.21,0.25,0.73,4.72,0.05,0.15,1502.40,1915.39,893.90,982.47,0.13,0.10,0.02,0.04,0.02,0.02,0.00,0.00,1511.23,1924.07,895.08,984.77,--,--,0.05,0.78,0.03,0.03,0.05,0.79,0.03,0.03,0.08,0.40,0.01,0.02,169.65,160.35,122.33,130.43,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,170.65,161.08,122.50,130.74,--,--,0.33,0.33,0.20,1011.04,0.05,0.01,1014.39,--,15879326.66,1694010.69,181762257.50,29419352.00,231680.00,4958836.99,0.00,6145870.00,0.00,1379.22,1310555.25,230066881.31,11336386.99,11104706.99,205606366.30,35796902.00,0.07,0.01,0.75,0.12,0.00,0.02,0.00,0.03,0.00,0.00,0.01,0.95,0.05,0.05,0.85,0.15,21664148.25,7417.00,111213116.95,0.00,0.00,2230691.44,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.82,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00
2020.00,HIMS,HICC Miscellaneous,1450.50,19183039.94,7241628.11,24715758.94,9704172.12,2450535.00,983730.41,9245.23,3580.00,4803.91,1400759.45,268824.40,42666.58,1410434.75,--,7.55,7.28,3.92,1143.23,0.11,0.02,1151.12,--,0.96,0.99,0.50,146.04,0.01,0.00,147.05,--,10.16,9.80,5.28,1539.40,0.15,0.02,1550.03,--,0.00,11.18,0.00,11.18,0.00,11.17,0.00,11.17,0.00,5.49,0.00,5.49,0.00,1716.22,0.00,1716.22,0.00,0.14,0.00,0.14,0.00,0.02,0.00,0.02,0.00,1726.24,0.00,1726.24,--,--,0.00,1.06,0.00,1.06,0.00,1.04,0.00,1.04,0.00,0.52,0.00,0.52,0.00,162.58,0.00,162.58,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,163.53,0.00,163.53,--,--,11.39,11.44,5.02,1542.05,0.13,0.02,1551.84,--,0.00,1632605.93,0.00,0.00,98820.00,65260.81,396217.00,125976.00,9640.00,0.00,122015.40,1754621.33,695913.81,597093.81,1819882.14,630653.00,0.00,0.67,0.00,0.00,0.04,0.03,0.16,0.05,0.00,0.00,0.05,0.72,0.28,0.24,0.74,0.26,0.00,1166896.85,0.00,0.00,0.00,21078.77,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00
2020.00,HIOA,HICC Oahu,2686.40,65529876.63,27153853.24,70304989.63,29467415.24,6618705.00,2787505.00,12733.46,5238.46,22407.80,5470199.21,1177872.77,179519.43,5511671.01,--,3.85,3.76,6.77,1652.95,0.18,0.03,1665.48,--,0.39,0.39,0.68,166.95,0.02,0.00,168.22,--,4.19,4.10,7.38,1801.06,0.19,0.03,1814.72,--,2.81,4.35,0.00,4.02,2.80,4.31,0.00,4.01,5.96,8.38,0.00,7.87,2378.89,1625.29,0.00,1782.41,0.28,0.07,0.00,0.12,0.04,0.01,0.00,0.02,2398.05,1631.33,0.00,1791.19,--,--,0.25,0.44,0.00,0.40,0.25,0.43,0.00,0.39,0.54,0.84,0.00,0.77,213.89,163.34,0.00,174.84,0.03,0.01,0.00,0.01,0.00,0.00,0.00,0.00,215.62,163.95,0.00,175.70,--,--,4.55,4.50,7.89,1753.51,0.18,0.03,1766.01,--,1165146.70,4516599.41,0.00,0.00,0.00,389789.09,186242.00,358054.00,0.00,2874.05,0.00,5684620.16,934085.09,934085.09,6074409.25,544296.00,0.18,0.68,0.00,0.00,0.00,0.06,0.03,0.05,0.00,0.00,0.00,0.86,0.14,0.14,0.92,0.08,264789.86,2947914.03,0.00,0.00,0.00,259795.22,0.00,0.00,0.00,0.00,0.00,0.08,0.85,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00
2020.00,MROE,MRO East,11037.10,185111639.40,88340945.16,204994294.32,95911949.15,20714884.76,9370049.63,10099.53,4732.25,4032.20,15809334.82,2885248.45,421153.22,15907260.24,--,0.98,1.01,0.39,1526.37,0.14,0.02,1535.83,--,0.11,0.11,0.04,170.81,0.02,0.00,171.87,--,1.10,1.13,0.44,1713.89,0.16,0.02,1724.50,--,0.78,0.82,1.40,1.03,0.76,0.84,1.50,1.06,0.49,2.33,0.15,0.37,2222.12,1417.17,1152.65,1787.25,0.25,0.26,0.02,0.16,0.04,0.04,0.00,0.02,2239.17,1434.88,1154.03,1798.02,--,--,0.07,0.09,0.15,0.10,0.07,0.09,0.14,0.10,0.05,0.24,0.02,0.04,209.64,148.50,118.99,174.78,0.02,0.03,0.00,0.02,0.00,0.00,0.00,0.00,211.24,150.35,119.13,175.83,--,--,1.12,1.15,0.40,1628.85,0.14,0.02,1638.47,--,10581044.33,104120.32,7021493.52,0.00,1424752.85,720829.84,814850.00,26743.00,0.00,14774.76,6275.90,17727708.82,2987175.69,1562422.84,18448538.66,2266345.85,0.51,0.01,0.34,0.00,0.07,0.03,0.04,0.00,0.00,0.00,0.00,0.86,0.14,0.08,0.89,0.11,6128766.53,141203.00,5447332.10,0.00,0.00,554958.85,0.00,0.00,0.00,0.00,0.00,0.50,0.01,0.44,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00
2020.00,MROW,MRO West,87542.40,1150386854.60,508819922.40,1935910722.73,806951933.29,227120021.47,93979840.06,82707.72,35522.68,106515.38,111236072.08,23689167.63,3422709.14,112042170.34,--,0.73,0.76,0.94,979.54,0.10,0.02,986.63,--,0.14,0.14,0.19,193.39,0.02,0.00,194.79,--,1.45,1.51,1.87,1950.16,0.21,0.03,1964.29,--,1.70,4.17,0.33,1.42,1.65,5.49,0.36,1.38,2.39,0.66,0.01,1.88,2265.36,1214.01,920.26,1975.99,0.25,0.06,0.02,0.20,0.04,0.01,0.00,0.03,2282.64,1218.31,921.26,1989.77,--,--,0.16,0.54,0.04,0.14,0.16,0.58,0.05,0.14,0.22,0.09,0.00,0.19,211.68,157.75,118.26,196.18,0.02,0.01,0.00,0.02,0.00,0.00,0.00,0.00,213.29,158.31,118.39,197.55,--,--,1.33,1.30,1.64,1809.95,0.19,0.03,1822.51,--,86817249.57,223049.96,24680872.14,23770702.00,13078772.28,1965834.13,74428970.71,1762556.53,0.00,52559.62,339454.49,135883887.76,91236133.65,78157361.37,114079019.89,113041001.52,0.38,0.00,0.11,0.10,0.06,0.01,0.33,0.01,0.00,0.00,0.00,0.60,0.40,0.34,0.50,0.50,40772120.87,191976.76,18297262.82,0.00,0.00,1056902.31,0.00,0.00,0.00,0.00,0.00,0.68,0.00,0.30,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00
